record_id,date_id,plant_id,machine_id,shift_id,product_id,planned_qty,produced_qty,defective_qty,downtime_minutes,energy_consumed_kwh,failure_event,machine_wear_index
38,20250901,P02,M013,S2,PR03,479.8,434.4,4,40.0,39.38,False,0.0975
39,20250901,P02,M013,S3,PR02,479.7,468.7,7,23.7,40.11,False,0.0975
40,20250901,P02,M014,S1,PR04,267.8,248.4,5,33.4,63.23,False,0.1411
41,20250901,P02,M014,S2,PR01,268.0,244.5,3,10.6,58.72,False,0.1411
42,20250901,P02,M014,S3,PR04,280.8,261.9,4,16.0,61.61,False,0.1411
43,20250901,P02,M015,S1,PR05,395.5,382.2,6,8.1,33.18,False,0.0791
44,20250901,P02,M015,S2,PR01,438.3,407.9,7,18.3,30.44,False,0.0791
45,20250901,P02,M015,S3,PR03,428.6,389.8,6,32.4,32.04,False,0.0791
46,20250901,P02,M016,S1,PR02,170.0,150.5,2,21.4,72.03,False,0.1811
47,20250901,P02,M016,S2,PR02,161.2,81.3,1,241.3,36.16,True,0.1811
48,20250901,P02,M016,S3,PR01,183.9,177.5,2,15.5,74.92,False,0.0709
49,20250901,P03,M017,S1,PR02,490.4,481.6,10,21.8,37.27,False,0.1648
50,20250901,P03,M017,S2,PR03,527.2,479.1,11,10.3,35.43,False,0.1648
51,20250901,P03,M017,S3,PR02,460.7,431.7,7,4.4,36.27,False,0.1648
52,20250901,P03,M018,S1,PR05,627.6,614.4,13,5.4,30.66,False,0.1619
53,20250901,P03,M018,S2,PR01,583.2,585.8,11,4.0,31.31,False,0.1619
54,20250901,P03,M018,S3,PR01,664.1,657.1,11,11.4,29.32,False,0.1619
55,20250901,P03,M019,S1,PR02,316.6,293.3,4,15.5,40.35,False,0.1185
56,20250901,P03,M019,S2,PR05,344.2,304.8,4,18.5,45.78,False,0.1185
57,20250901,P03,M019,S3,PR03,347.1,329.8,7,32.5,46.51,False,0.1185
58,20250901,P03,M020,S1,PR05,247.7,231.9,5,22.0,50.81,False,0.149
59,20250901,P03,M020,S2,PR04,225.8,190.5,2,46.2,46.51,False,0.149
60,20250901,P03,M020,S3,PR05,233.4,214.2,5,23.7,42.79,False,0.149
61,20250901,P03,M021,S1,PR02,371.0,327.1,4,22.6,43.81,False,0.1414
62,20250901,P03,M021,S2,PR05,359.1,348.7,4,17.6,40.68,False,0.1414
63,20250901,P03,M021,S3,PR02,367.2,330.3,6,12.3,46.61,False,0.1414
64,20250901,P03,M022,S1,PR04,297.6,283.4,6,0.2,64.55,False,0.1518
65,20250901,P03,M022,S2,PR05,330.3,327.6,8,3.4,71.61,False,0.1518
66,20250901,P03,M022,S3,PR01,300.5,303.8,7,8.7,65.84,False,0.1518
67,20250901,P03,M023,S1,PR05,474.8,439.1,3,8.9,32.07,False,0.0656
68,20250901,P03,M023,S2,PR02,485.4,459.0,7,27.4,29.82,False,0.0656
69,20250901,P03,M023,S3,PR01,454.7,454.2,7,1.3,33.85,False,0.0656
70,20250901,P03,M024,S1,PR04,158.1,143.2,3,22.8,68.49,False,0.1149
71,20250901,P03,M024,S2,PR05,163.4,158.2,4,19.5,68.94,False,0.1149
72,20250901,P03,M024,S3,PR02,156.6,153.1,3,22.1,64.16,False,0.1149
73,20250901,P04,M025,S1,PR01,412.0,395.8,6,4.5,33.05,False,0.0574
74,20250901,P04,M025,S2,PR05,408.2,404.1,4,3.3,33.07,False,0.0574
75,20250901,P04,M025,S3,PR05,434.3,391.1,6,10.3,33.8,False,0.0574
76,20250901,P04,M026,S1,PR03,711.3,667.9,9,8.3,28.08,False,0.1268
77,20250901,P04,M026,S2,PR01,687.6,646.5,13,15.0,25.94,False,0.1268
78,20250901,P04,M026,S3,PR03,666.5,451.3,5,128.0,21.52,True,0.1268
79,20250901,P04,M027,S1,PR03,358.3,331.5,4,42.1,45.0,False,0.1005
80,20250901,P04,M027,S2,PR02,344.6,300.4,6,41.8,42.51,False,0.1005
81,20250901,P04,M027,S3,PR01,323.3,286.6,4,19.2,39.85,False,0.1005
82,20250901,P04,M028,S1,PR01,197.4,178.8,2,38.6,43.56,False,0.0735
83,20250901,P04,M028,S2,PR01,196.9,175.5,1,15.1,53.84,False,0.0735
84,20250901,P04,M028,S3,PR02,179.4,172.4,2,13.4,45.18,False,0.0735
85,20250901,P04,M029,S1,PR03,382.7,365.4,4,15.0,45.74,False,0.0695
86,20250901,P04,M029,S2,PR02,403.0,400.3,7,3.1,45.94,False,0.0695
87,20250901,P04,M029,S3,PR02,426.9,228.4,3,217.2,22.27,True,0.0695
88,20250901,P04,M030,S1,PR04,258.1,225.1,4,36.2,55.52,False,0.144
89,20250901,P04,M030,S2,PR04,267.0,262.6,5,10.8,51.96,False,0.144
90,20250901,P04,M030,S3,PR03,290.2,270.4,6,5.4,51.67,False,0.144
91,20250901,P04,M031,S1,PR01,467.5,451.8,8,9.9,32.46,False,0.0815
92,20250901,P04,M031,S2,PR03,458.8,434.2,6,7.6,30.87,False,0.0815
93,20250901,P04,M031,S3,PR03,464.9,469.2,6,3.7,31.58,False,0.0815
94,20250901,P04,M032,S1,PR05,188.6,180.8,5,7.1,80.85,False,0.1907
95,20250901,P04,M032,S2,PR05,176.1,174.2,5,12.7,84.79,False,0.1907
96,20250901,P04,M032,S3,PR01,202.7,191.9,4,3.4,73.11,False,0.1907
97,20250901,P05,M033,S1,PR04,434.4,433.0,8,8.0,38.24,False,0.1424
98,20250901,P05,M033,S2,PR04,417.2,417.7,6,1.7,40.21,False,0.1424
99,20250901,P05,M033,S3,PR04,459.1,429.1,7,2.7,36.66,False,0.1424
100,20250901,P05,M034,S1,PR01,619.8,570.8,7,28.2,22.42,False,0.1043
101,20250901,P05,M034,S2,PR03,642.2,609.1,10,12.6,24.55,False,0.1043
102,20250901,P05,M034,S3,PR03,593.0,562.5,13,12.1,22.84,False,0.1043
103,20250901,P05,M035,S1,PR01,341.0,308.3,6,25.8,44.96,False,0.1424
104,20250901,P05,M035,S2,PR04,349.5,346.7,8,8.5,46.7,False,0.1424
105,20250901,P05,M035,S3,PR02,379.4,379.7,8,3.2,49.78,False,0.1424
106,20250901,P05,M036,S1,PR05,190.5,171.0,4,11.7,47.94,False,0.0584
107,20250901,P05,M036,S2,PR02,198.4,186.9,4,10.8,48.41,False,0.0584
108,20250901,P05,M036,S3,PR05,207.1,190.8,4,25.1,47.14,False,0.0584
109,20250901,P05,M037,S1,PR01,454.8,434.9,12,22.2,40.53,False,0.1957
110,20250901,P05,M037,S2,PR03,441.9,418.0,8,26.5,40.38,False,0.1957
111,20250901,P05,M037,S3,PR01,431.3,400.5,8,14.6,40.49,False,0.1957
112,20250901,P05,M038,S1,PR02,266.7,235.5,3,20.5,54.32,False,0.124
113,20250901,P05,M038,S2,PR04,302.3,285.1,3,3.6,57.28,False,0.124
114,20250901,P05,M038,S3,PR05,293.7,283.5,7,15.4,59.49,False,0.124
115,20250901,P05,M039,S1,PR03,447.6,385.5,7,31.9,30.82,False,0.1697
116,20250901,P05,M039,S2,PR04,469.3,441.7,9,7.1,30.29,False,0.1697
117,20250901,P05,M039,S3,PR05,448.6,449.6,12,5.0,31.91,False,0.1697
118,20250901,P05,M040,S1,PR01,170.5,148.8,2,57.2,66.89,False,0.0672
119,20250901,P05,M040,S2,PR05,161.2,141.1,1,32.2,71.95,False,0.0672
120,20250901,P05,M040,S3,PR03,171.4,149.2,2,32.0,81.36,False,0.0672
121,20250902,P01,M001,S1,PR03,407.2,382.0,5,16.2,32.49,False,0.0672
122,20250902,P01,M001,S2,PR02,425.5,394.6,5,19.0,36.98,False,0.0672
123,20250902,P01,M001,S3,PR04,457.2,462.1,4,2.8,34.13,False,0.0672
124,20250902,P01,M002,S1,PR05,654.1,588.6,13,12.4,26.78,False,0.1624
125,20250902,P01,M002,S2,PR02,667.3,640.1,15,9.8,23.4,False,0.1624
126,20250902,P01,M002,S3,PR04,732.4,714.3,13,13.1,24.56,False,0.1624
127,20250902,P01,M003,S1,PR02,341.9,314.3,3,10.4,51.42,False,0.0478
128,20250902,P01,M003,S2,PR01,387.4,363.1,7,13.0,52.52,False,0.0478
129,20250902,P01,M003,S3,PR05,380.6,360.9,6,1.8,49.94,False,0.0478
130,20250902,P01,M004,S1,PR03,204.3,195.3,3,8.7,51.14,False,0.2011
131,20250902,P01,M004,S2,PR05,205.8,194.8,4,1.7,50.86,False,0.2011
132,20250902,P01,M004,S3,PR04,203.2,197.3,4,22.4,47.29,False,0.2011
133,20250902,P01,M005,S1,PR04,456.6,405.3,8,28.5,38.73,False,0.1773
134,20250902,P01,M005,S2,PR01,437.5,407.7,6,3.9,46.33,False,0.1773
135,20250902,P01,M005,S3,PR03,445.4,417.5,9,6.0,40.73,False,0.1773
136,20250902,P01,M006,S1,PR04,303.8,282.2,7,2.4,65.54,False,0.1681
137,20250902,P01,M006,S2,PR05,341.7,317.2,5,17.8,65.66,False,0.1681
138,20250902,P01,M006,S3,PR01,341.0,327.3,9,7.1,60.48,False,0.1681
139,20250902,P01,M007,S1,PR04,495.9,450.3,10,11.9,29.98,False,0.1242
140,20250902,P01,M007,S2,PR05,481.9,465.1,7,27.0,27.61,False,0.1242
141,20250902,P01,M007,S3,PR03,485.3,439.5,6,36.9,27.09,False,0.1242
142,20250902,P01,M008,S1,PR03,192.5,179.2,4,25.0,68.16,False,0.0971
143,20250902,P01,M008,S2,PR05,214.3,190.3,4,19.5,70.84,False,0.0971
144,20250902,P01,M008,S3,PR03,206.1,197.6,2,11.4,77.01,False,0.0971
145,20250902,P02,M009,S1,PR02,424.5,388.4,8,20.7,35.12,False,0.075
146,20250902,P02,M009,S2,PR03,408.9,394.6,9,6.9,40.35,False,0.075
147,20250902,P02,M009,S3,PR03,449.3,429.3,4,2.9,39.61,False,0.075
148,20250902,P02,M010,S1,PR05,802.6,768.4,11,4.3,31.45,False,0.1938
149,20250902,P02,M010,S2,PR04,785.2,696.7,14,18.4,28.69,False,0.1938
150,20250902,P02,M010,S3,PR02,703.8,640.7,13,7.3,29.71,False,0.1938
151,20250902,P02,M011,S1,PR05,310.8,305.7,4,18.9,43.31,False,0.046
152,20250902,P02,M011,S2,PR02,307.6,286.5,4,17.7,37.38,False,0.046
153,20250902,P02,M011,S3,PR05,331.9,328.9,4,3.2,45.54,False,0.046
154,20250902,P02,M012,S1,PR04,210.0,199.2,4,14.8,52.56,False,0.083
155,20250902,P02,M012,S2,PR01,195.7,183.9,2,7.5,50.56,False,0.083
156,20250902,P02,M012,S3,PR04,186.0,179.6,4,28.9,54.58,False,0.083
157,20250902,P02,M013,S1,PR01,486.2,480.6,9,18.0,38.42,False,0.0992
158,20250902,P02,M013,S2,PR03,455.4,421.9,9,1.1,39.55,False,0.0992
159,20250902,P02,M013,S3,PR04,496.4,434.3,10,34.5,35.18,False,0.0992
160,20250902,P02,M014,S1,PR03,306.1,265.7,4,30.6,59.52,False,0.1446
161,20250902,P02,M014,S2,PR03,303.2,292.3,6,20.9,64.19,False,0.1446
162,20250902,P02,M014,S3,PR01,277.2,281.0,5,4.8,65.33,False,0.1446
163,20250902,P02,M015,S1,PR04,405.7,366.5,4,32.0,31.66,False,0.0828
164,20250902,P02,M015,S2,PR05,458.0,443.9,7,3.9,31.88,False,0.0828
165,20250902,P02,M015,S3,PR02,462.0,426.2,7,2.5,30.69,False,0.0828
166,20250902,P02,M016,S1,PR02,183.5,158.0,3,34.0,72.14,False,0.0751
167,20250902,P02,M016,S2,PR04,178.0,164.0,2,32.9,72.5,False,0.0751
168,20250902,P02,M016,S3,PR02,182.9,176.9,3,4.3,74.25,False,0.0751
169,20250902,P03,M017,S1,PR02,507.8,494.4,12,13.8,34.1,False,0.1669
170,20250902,P03,M017,S2,PR02,524.5,504.1,13,8.5,37.84,False,0.1669
171,20250902,P03,M017,S3,PR05,504.9,467.5,7,5.3,34.97,False,0.1669
172,20250902,P03,M018,S1,PR03,649.1,638.8,15,8.8,29.21,False,0.1635
173,20250902,P03,M018,S2,PR01,660.9,633.3,11,6.5,28.18,False,0.1635
174,20250902,P03,M018,S3,PR04,609.3,564.0,10,14.0,27.71,False,0.1635
175,20250902,P03,M019,S1,PR02,344.3,333.5,5,28.6,45.42,False,0.0522
176,20250902,P03,M019,S2,PR04,337.1,311.2,5,24.4,41.92,False,0.0522
177,20250902,P03,M019,S3,PR04,325.5,292.9,6,22.8,45.66,False,0.0522
178,20250902,P03,M020,S1,PR05,248.6,232.8,6,24.4,45.1,False,0.155
179,20250902,P03,M020,S2,PR04,236.0,209.7,5,19.6,46.1,False,0.155
180,20250902,P03,M020,S3,PR05,240.7,225.8,6,5.7,45.07,False,0.155
181,20250902,P03,M021,S1,PR01,364.8,343.1,6,4.3,43.57,False,0.1458
182,20250902,P03,M021,S2,PR04,362.6,330.5,4,16.3,43.61,False,0.1458
183,20250902,P03,M021,S3,PR03,374.9,365.4,4,16.3,42.16,False,0.1458
184,20250902,P03,M022,S1,PR04,295.1,296.9,6,4.1,67.76,False,0.1566
185,20250902,P03,M022,S2,PR04,335.1,305.4,7,18.1,66.54,False,0.1566
186,20250902,P03,M022,S3,PR01,309.2,293.0,7,2.2,70.76,False,0.1566
187,20250902,P03,M023,S1,PR04,457.1,459.8,6,8.4,30.75,False,0.0706
188,20250902,P03,M023,S2,PR01,467.3,465.5,5,4.8,35.3,False,0.0706
189,20250902,P03,M023,S3,PR05,502.1,509.6,6,0.2,33.76,False,0.0706
190,20250902,P03,M024,S1,PR05,172.5,165.3,3,27.5,67.31,False,0.1197
191,20250902,P03,M024,S2,PR01,173.6,169.2,3,0.2,69.27,False,0.1197
192,20250902,P03,M024,S3,PR05,172.7,169.3,3,6.9,63.24,False,0.1197
193,20250902,P04,M025,S1,PR04,473.2,435.1,7,19.6,33.07,False,0.0624
194,20250902,P04,M025,S2,PR05,411.3,403.0,5,12.8,36.81,False,0.0624
195,20250902,P04,M025,S3,PR05,467.7,446.6,8,15.5,35.64,False,0.0624
196,20250902,P04,M026,S1,PR03,744.0,704.2,14,5.9,25.21,False,0.048
197,20250902,P04,M026,S2,PR05,707.2,641.4,13,20.9,28.07,False,0.048
198,20250902,P04,M026,S3,PR04,686.1,628.9,5,14.6,29.55,False,0.048
199,20250902,P04,M027,S1,PR05,346.4,335.6,5,0.2,42.28,False,0.0375
200,20250902,P04,M027,S2,PR04,356.1,365.5,7,0.3,48.43,False,0.0375
201,20250902,P04,M027,S3,PR01,329.7,296.9,2,16.8,47.32,False,0.0375
202,20250902,P04,M028,S1,PR04,201.1,202.0,3,5.9,49.87,False,0.0364
203,20250902,P04,M028,S2,PR03,197.5,183.1,3,5.9,47.39,False,0.0364
204,20250902,P04,M028,S3,PR02,183.1,179.7,1,15.5,51.11,False,0.0364
205,20250902,P04,M029,S1,PR04,377.7,367.8,4,4.3,43.52,False,0.0225
206,20250902,P04,M029,S2,PR05,403.0,398.1,6,3.1,39.68,False,0.0225
207,20250902,P04,M029,S3,PR04,392.5,373.4,6,8.5,40.56,False,0.0225
208,20250902,P04,M030,S1,PR05,283.8,288.5,5,2.6,57.57,False,0.1491
209,20250902,P04,M030,S2,PR05,276.8,248.6,6,37.0,53.06,False,0.1491
210,20250902,P04,M030,S3,PR01,292.7,271.5,3,1.6,56.63,False,0.1491
211,20250902,P04,M031,S1,PR05,468.5,471.6,5,8.0,34.02,False,0.0863
212,20250902,P04,M031,S2,PR02,461.8,463.7,7,7.3,34.89,False,0.0863
213,20250902,P04,M031,S3,PR01,477.0,451.3,6,0.7,34.26,False,0.0863
214,20250902,P04,M032,S1,PR04,188.8,174.2,4,10.1,83.16,False,0.1967
215,20250902,P04,M032,S2,PR05,182.0,175.4,4,26.4,72.18,False,0.1967
216,20250902,P04,M032,S3,PR02,189.4,174.7,4,21.3,73.92,False,0.1967
217,20250902,P05,M033,S1,PR05,405.3,365.8,7,21.6,35.1,False,0.063
218,20250902,P05,M033,S2,PR03,418.6,383.7,3,5.4,36.52,False,0.063
219,20250902,P05,M033,S3,PR01,398.0,366.1,5,24.3,31.72,False,0.063
220,20250902,P05,M034,S1,PR01,551.9,506.8,6,9.3,25.33,False,0.1093
221,20250902,P05,M034,S2,PR02,621.3,588.5,10,2.9,24.26,False,0.1093
222,20250902,P05,M034,S3,PR05,555.3,499.7,10,33.9,23.79,False,0.1093
223,20250902,P05,M035,S1,PR01,373.1,353.3,5,19.2,41.97,False,0.1473
224,20250902,P05,M035,S2,PR03,352.6,346.9,5,17.9,49.88,False,0.1473
225,20250902,P05,M035,S3,PR01,327.4,178.7,4,224.9,27.74,True,0.1473
226,20250902,P05,M036,S1,PR03,197.1,173.8,3,24.0,52.02,False,0.0625
227,20250902,P05,M036,S2,PR05,200.1,191.2,2,2.7,48.33,False,0.0625
228,20250902,P05,M036,S3,PR03,198.6,199.8,3,4.1,54.31,False,0.0625
229,20250902,P05,M037,S1,PR05,460.5,418.5,6,14.2,42.38,False,0.1979
230,20250902,P05,M037,S2,PR01,419.5,394.9,7,5.1,44.57,False,0.1979
231,20250902,P05,M037,S3,PR05,454.6,399.9,10,27.3,39.78,False,0.1979
232,20250902,P05,M038,S1,PR03,269.6,249.3,4,5.4,58.58,False,0.1257
233,20250902,P05,M038,S2,PR04,275.4,265.8,3,12.8,53.19,False,0.1257
234,20250902,P05,M038,S3,PR05,274.0,253.7,5,17.8,59.03,False,0.1257
235,20250902,P05,M039,S1,PR02,449.4,455.0,6,5.3,31.07,False,0.1708
236,20250902,P05,M039,S2,PR01,480.7,473.4,13,17.6,27.1,False,0.1708
237,20250902,P05,M039,S3,PR02,464.5,414.2,8,15.7,31.76,False,0.1708
238,20250902,P05,M040,S1,PR04,163.0,138.5,3,39.5,69.85,False,0.0699
239,20250902,P05,M040,S2,PR02,152.7,151.1,2,17.5,76.84,False,0.0699
240,20250902,P05,M040,S3,PR03,173.1,166.1,3,1.7,86.59,False,0.0699
241,20250903,P01,M001,S1,PR04,402.7,369.2,7,11.8,34.26,False,0.0691
242,20250903,P01,M001,S2,PR03,425.6,392.7,8,18.5,35.85,False,0.0691
243,20250903,P01,M001,S3,PR03,464.1,430.7,5,3.0,38.28,False,0.0691
244,20250903,P01,M002,S1,PR03,740.3,727.6,19,7.6,24.73,False,0.1641
245,20250903,P01,M002,S2,PR03,707.4,639.5,16,9.2,24.28,False,0.1641
246,20250903,P01,M002,S3,PR01,652.6,599.9,9,2.2,24.28,False,0.1641
247,20250903,P01,M003,S1,PR03,349.5,326.7,6,3.8,53.75,False,0.0507
248,20250903,P01,M003,S2,PR01,383.8,378.3,7,9.4,51.76,False,0.0507
249,20250903,P01,M003,S3,PR01,355.1,354.5,3,11.2,52.94,False,0.0507
250,20250903,P01,M004,S1,PR02,184.5,183.6,4,6.2,55.84,False,0.206
251,20250903,P01,M004,S2,PR05,190.4,173.7,3,18.5,50.21,False,0.206
252,20250903,P01,M004,S3,PR01,209.7,194.4,4,14.5,50.57,False,0.206
253,20250903,P01,M005,S1,PR01,432.9,382.6,6,60.3,41.66,False,0.1796
254,20250903,P01,M005,S2,PR04,480.0,452.9,7,16.9,44.75,False,0.1796
255,20250903,P01,M005,S3,PR04,441.2,432.5,6,9.2,43.7,False,0.1796
256,20250903,P01,M006,S1,PR05,302.1,273.6,7,14.1,65.66,False,0.1732
257,20250903,P01,M006,S2,PR02,315.5,292.5,4,5.3,68.14,False,0.1732
258,20250903,P01,M006,S3,PR01,322.5,278.2,4,34.6,63.16,False,0.1732
259,20250903,P01,M007,S1,PR04,477.7,483.1,7,3.5,31.24,False,0.13
260,20250903,P01,M007,S2,PR05,454.8,432.8,5,19.6,31.54,False,0.13
261,20250903,P01,M007,S3,PR04,519.0,497.0,7,10.5,27.14,False,0.13
262,20250903,P01,M008,S1,PR03,195.4,188.0,3,13.1,71.23,False,0.1
263,20250903,P01,M008,S2,PR05,212.5,202.4,5,12.2,77.65,False,0.1
264,20250903,P01,M008,S3,PR04,188.9,180.6,2,7.3,75.18,False,0.1
265,20250903,P02,M009,S1,PR04,425.3,415.1,8,5.5,39.63,False,0.0767
266,20250903,P02,M009,S2,PR04,450.2,444.1,8,13.3,36.04,False,0.0767
267,20250903,P02,M009,S3,PR04,413.7,389.9,8,35.5,32.86,False,0.0767
268,20250903,P02,M010,S1,PR04,801.4,754.9,10,5.5,31.01,False,0.1963
269,20250903,P02,M010,S2,PR01,684.7,620.1,12,32.7,27.68,False,0.1963
270,20250903,P02,M010,S3,PR05,723.3,710.1,20,17.4,26.65,False,0.1963
271,20250903,P02,M011,S1,PR04,322.1,301.1,6,19.7,37.23,False,0.0489
272,20250903,P02,M011,S2,PR01,306.9,304.1,3,17.5,38.7,False,0.0489
273,20250903,P02,M011,S3,PR05,329.9,291.2,4,27.0,41.67,False,0.0489
274,20250903,P02,M012,S1,PR01,194.8,171.7,3,24.1,48.88,False,0.0884
275,20250903,P02,M012,S2,PR03,185.1,185.1,2,6.6,53.38,False,0.0884
276,20250903,P02,M012,S3,PR05,196.7,199.5,2,6.7,56.22,False,0.0884
277,20250903,P02,M013,S1,PR02,493.0,459.3,7,17.2,38.79,False,0.1004
278,20250903,P02,M013,S2,PR04,461.1,415.1,5,30.0,40.22,False,0.1004
279,20250903,P02,M013,S3,PR01,436.4,387.4,4,25.1,34.69,False,0.1004
280,20250903,P02,M014,S1,PR02,306.6,286.9,6,24.1,58.08,False,0.1495
281,20250903,P02,M014,S2,PR05,288.5,267.1,5,4.2,63.44,False,0.1495
282,20250903,P02,M014,S3,PR05,297.6,275.0,5,11.7,58.94,False,0.1495
283,20250903,P02,M015,S1,PR02,440.3,425.5,4,3.6,30.7,False,0.0855
284,20250903,P02,M015,S2,PR03,429.6,401.1,8,4.2,29.8,False,0.0855
285,20250903,P02,M015,S3,PR05,443.4,429.2,9,16.9,32.73,False,0.0855
286,20250903,P02,M016,S1,PR01,165.3,157.6,2,19.2,76.1,False,0.079
287,20250903,P02,M016,S2,PR04,160.8,157.7,1,1.3,74.01,False,0.079
288,20250903,P02,M016,S3,PR03,172.5,164.5,3,17.8,74.51,False,0.079
289,20250903,P03,M017,S1,PR04,456.8,439.1,6,16.2,36.12,False,0.1706
290,20250903,P03,M017,S2,PR04,466.4,457.3,8,2.1,36.19,False,0.1706
291,20250903,P03,M017,S3,PR05,506.1,464.2,7,9.5,35.13,False,0.1706
292,20250903,P03,M018,S1,PR05,628.8,571.9,10,47.6,28.52,False,0.1692
293,20250903,P03,M018,S2,PR04,588.6,578.8,11,16.0,29.39,False,0.1692
294,20250903,P03,M018,S3,PR01,598.9,565.5,15,24.6,30.35,False,0.1692
295,20250903,P03,M019,S1,PR03,344.9,331.9,4,4.3,41.36,False,0.0546
296,20250903,P03,M019,S2,PR02,300.9,282.9,4,2.4,42.34,False,0.0546
297,20250903,P03,M019,S3,PR04,325.2,293.1,6,18.1,46.62,False,0.0546
298,20250903,P03,M020,S1,PR05,238.8,219.9,6,0.6,49.77,False,0.1601
299,20250903,P03,M020,S2,PR03,229.2,216.7,4,11.2,45.61,False,0.1601
300,20250903,P03,M020,S3,PR02,234.9,218.6,3,12.3,48.17,False,0.1601
301,20250903,P03,M021,S1,PR03,372.4,348.2,6,7.0,40.01,False,0.1493
302,20250903,P03,M021,S2,PR01,353.7,330.2,6,25.6,38.51,False,0.1493
303,20250903,P03,M021,S3,PR05,355.8,339.2,8,23.6,42.76,False,0.1493
304,20250903,P03,M022,S1,PR01,320.7,267.7,6,45.9,54.9,False,0.1607
305,20250903,P03,M022,S2,PR02,285.8,272.2,5,8.6,68.17,False,0.1607
306,20250903,P03,M022,S3,PR02,330.6,330.0,4,10.4,63.45,False,0.1607
307,20250903,P03,M023,S1,PR01,468.2,425.3,4,7.9,33.25,False,0.0764
308,20250903,P03,M023,S2,PR01,454.5,443.3,7,16.5,33.6,False,0.0764
309,20250903,P03,M023,S3,PR04,474.6,462.1,10,21.5,34.37,False,0.0764
310,20250903,P03,M024,S1,PR05,176.6,167.6,2,4.1,64.34,False,0.1218
311,20250903,P03,M024,S2,PR02,164.9,155.0,3,13.7,62.64,False,0.1218
312,20250903,P03,M024,S3,PR04,173.7,169.4,4,3.9,65.02,False,0.1218
313,20250903,P04,M025,S1,PR04,461.6,429.3,9,18.0,34.97,False,0.0678
314,20250903,P04,M025,S2,PR01,436.9,383.3,4,28.0,34.81,False,0.0678
315,20250903,P04,M025,S3,PR03,432.7,416.0,4,26.9,33.23,False,0.0678
